diagnostic_scope,breakdown,value,trades,sample_flag,profit_win_rate,target_hit_rate,avg_r,total_r,avg_mfe_r,avg_mae_r
all_reversal_rejection,timeframe,1D/4H/90m,2,very_low_sample,50.0,50.0,-0.208,-0.415,16.215,-1.261
all_reversal_rejection,timeframe,1D/3H/2H/90m,4,very_low_sample,50.0,0.0,-0.144,-0.578,1.346,-0.589
all_reversal_rejection,timeframe,1D/4H/3H/1H,7,very_low_sample,42.86,0.0,-0.129,-0.905,0.363,-0.644
all_reversal_rejection,timeframe,1D/3H/90m,1,very_low_sample,0.0,0.0,-1.0,-1.0,0.583,-1.089
all_reversal_rejection,timeframe,1D/4H/3H/90m,1,very_low_sample,0.0,0.0,-1.0,-1.0,0.676,-1.514
all_reversal_rejection,timeframe,4H/3H/1H,8,very_low_sample,50.0,12.5,-0.169,-1.355,2.022,-13.671
all_reversal_rejection,timeframe,2H/90m,34,ok,41.18,11.76,-0.041,-1.391,1.1,-0.86
all_reversal_rejection,timeframe,4H/3H/90m/1H,22,low_sample,40.91,4.55,-0.072,-1.573,0.741,-0.786
all_reversal_rejection,timeframe,1D/90m,10,low_sample,40.0,0.0,-0.175,-1.745,0.721,-0.668
all_reversal_rejection,timeframe,4H/3H/90m,9,very_low_sample,33.33,0.0,-0.228,-2.055,1.249,-0.899
all_reversal_rejection,timeframe,1D/4H/2H,7,very_low_sample,28.57,0.0,-0.311,-2.175,0.766,-0.892
all_reversal_rejection,timeframe,3H/90m/1H,40,ok,47.5,5.0,-0.058,-2.306,3.244,-2.008
all_reversal_rejection,timeframe,1D/4H/3H/2H,11,low_sample,36.36,0.0,-0.218,-2.402,0.46,-0.784
all_reversal_rejection,timeframe,4H/90m,7,very_low_sample,42.86,0.0,-0.374,-2.617,0.79,-1.183
all_reversal_rejection,timeframe,3H/2H/90m,14,low_sample,42.86,7.14,-0.204,-2.855,0.715,-4.903
all_reversal_rejection,timeframe,1D/2H/1H,9,very_low_sample,11.11,0.0,-0.347,-3.12,0.341,-0.656
all_reversal_rejection,timeframe,1D/4H/3H/2H/1H,16,low_sample,43.75,6.25,-0.196,-3.129,0.834,-0.831
all_reversal_rejection,timeframe,1D/4H/2H/90m,4,very_low_sample,0.0,0.0,-0.835,-3.339,0.167,-2.313
all_reversal_rejection,timeframe,1D/2H/90m/1H,24,low_sample,33.33,0.0,-0.156,-3.744,0.542,-0.696
all_reversal_rejection,timeframe,1D/1H,24,low_sample,25.0,4.17,-0.177,-4.237,0.639,-0.72
all_reversal_rejection,timeframe,4H,50,ok,36.0,6.0,-0.091,-4.539,0.875,-0.983
all_reversal_rejection,timeframe,4H/2H/90m,8,very_low_sample,12.5,0.0,-0.57,-4.562,0.561,-6.955
all_reversal_rejection,timeframe,1D/4H/2H/90m/1H,40,ok,42.5,7.5,-0.116,-4.632,0.642,-0.559
all_reversal_rejection,timeframe,3H/2H/1H,19,low_sample,36.84,5.26,-0.252,-4.792,1.185,-1.256
all_reversal_rejection,timeframe,3H,28,ok,46.43,3.57,-0.175,-4.908,1.037,-1.133
all_reversal_rejection,timeframe,4H/3H,12,low_sample,25.0,0.0,-0.447,-5.366,0.477,-0.86
all_reversal_rejection,timeframe,4H/2H/1H,17,low_sample,41.18,5.88,-0.387,-6.572,0.804,-1.137
all_reversal_rejection,timeframe,1D/90m/1H,31,ok,32.26,9.68,-0.243,-7.538,0.963,-0.815
all_reversal_rejection,timeframe,2H/1H,52,ok,36.54,5.77,-0.148,-7.674,1.113,-1.097
all_reversal_rejection,timeframe,4H/3H/2H/90m,34,ok,32.35,0.0,-0.308,-10.473,0.893,-1.122
all_reversal_rejection,timeframe,4H/3H/2H/1H,35,ok,34.29,8.57,-0.306,-10.707,1.929,-0.932
all_reversal_rejection,timeframe,2H,31,ok,19.35,9.68,-0.351,-10.896,0.841,-1.728
all_reversal_rejection,timeframe,4H/3H/2H/90m/1H,306,ok,45.1,6.86,-0.043,-13.273,5.274,-29.575
all_reversal_rejection,timeframe,4H/2H/90m/1H,82,ok,37.8,3.66,-0.188,-15.377,0.885,-1.137
all_reversal_rejection,timeframe,1D,240,ok,44.17,6.25,-0.067,-15.966,0.845,-0.706
all_reversal_rejection,timeframe,2H/90m/1H,134,ok,35.07,10.45,-0.142,-19.015,2.206,-4.339
all_reversal_rejection,timeframe,1D/4H/3H/2H/90m/1H,320,ok,43.12,1.88,-0.074,-23.586,0.513,-0.661
all_reversal_rejection,timeframe,1H,183,ok,32.24,15.3,-0.155,-28.366,1.773,-1.735
all_reversal_rejection,timeframe,90m/1H,164,ok,32.32,10.98,-0.245,-40.17,1.636,-1.837
Demand Reversal / Hold — Calls,vpa_confirmation_bucket,breakout_volume_confirmed,249,ok,43.37,8.84,-0.052,-12.938,1.097,-1.195
Demand Reversal / Hold — Calls,vpa_confirmation_bucket,normal_or_elevated_volume_reaction,786,ok,42.49,8.27,-0.039,-30.56,2.785,-12.437
Demand Reversal / Hold — Calls,vpa_confirmation_bucket,low_volume_reaction,181,ok,35.91,7.73,-0.254,-45.89,1.222,-1.342
Supply Rejection — Puts,vpa_confirmation_bucket,low_volume_reaction,167,ok,41.92,4.19,-0.118,-19.716,0.886,-0.788
Supply Rejection — Puts,vpa_confirmation_bucket,breakout_volume_confirmed,252,ok,35.32,9.52,-0.144,-36.285,1.357,-2.707
Supply Rejection — Puts,vpa_confirmation_bucket,normal_or_elevated_volume_reaction,772,ok,41.06,7.38,-0.069,-53.459,2.56,-1.967
all_reversal_rejection,vpa_confirmation_bucket,breakout_volume_confirmed,501,ok,39.32,9.18,-0.098,-49.223,1.228,-1.956
all_reversal_rejection,vpa_confirmation_bucket,low_volume_reaction,348,ok,38.79,6.03,-0.189,-65.606,1.061,-1.076
all_reversal_rejection,vpa_confirmation_bucket,normal_or_elevated_volume_reaction,1558,ok,41.78,7.83,-0.054,-84.019,2.674,-7.249
Demand Reversal / Hold — Calls,watchlist_bucket,Final / Actionable,147,ok,41.5,11.56,0.035,5.21,1.205,-1.219
