symbol,timeframe,zone_type,pattern,base_time,zone_top,zone_bottom,base_open,base_high,base_low,base_close,base_range,base_volume_ratio,prior_atr,departure_atr,departure_body_vs_base_body,departure_volume_ratio,freshness,tests,broken,quality_score,active_after_time,_active_after,broken_time,last_test_time,snapshot_as_of,confluence_count,confluence_timeframes,merged_from,primary_timeframe,primary_base_time
MSTR,90m,supply,RBD,2026-02-09T12:30:00-05:00,139.58,136.55,136.59,139.58,135.76,136.55,3.82,0.79,0.86,-0.08,10.5,0.48,multiple_tests,4,False,1.81,2026-02-09T14:00:00-05:00,2026-02-09 14:00:00-05:00,,2026-02-10T12:30:00-05:00,2026-02-13T16:00:00-05:00,1,90m,90m supply 136.55-139.58 RBD,90m,2026-02-09T12:30:00-05:00
MSTR,1D,supply,DBD,2026-02-02T00:00:00-05:00,147.88,139.63,139.76,147.88,138.0,139.63,9.88,1.21,-0.36,-0.64,50.93,1.17,fresh,0,False,7.81,2026-02-03T00:00:00-05:00,2026-02-03 00:00:00-05:00,,,2026-02-13T16:00:00-05:00,1,1D,1D supply 139.63-147.88 DBD,1D,2026-02-02T00:00:00-05:00
MSTR,3H/2H/90m/1H,supply,DBD,2026-02-02T15:30:00-05:00,141.74,139.72,140.55,141.74,139.33,139.72,2.41,0.45,-1.36,-1.42,9.01,1.65,fresh,0,False,9.07,2026-02-03T09:30:00-05:00,2026-02-03 09:30:00-05:00,,,2026-02-13T16:00:00-05:00,4,"3H,2H,90m,1H",3H supply 139.72-141.74 DBD; 2H supply 139.72-141.74 DBD; 90m supply 139.72-141.74 DBD; 1H supply 139.72-141.74 DBD,3H,2026-02-02T15:30:00-05:00
MSTR,4H,supply,DBD,2026-02-02T13:30:00-05:00,144.69,139.72,142.73,144.69,139.33,139.72,5.36,0.74,-1.59,-1.74,3.75,1.58,fresh,0,False,8.32,2026-02-03T09:30:00-05:00,2026-02-03 09:30:00-05:00,,,2026-02-13T16:00:00-05:00,1,4H,4H supply 139.72-144.69 DBD,4H,2026-02-02T13:30:00-05:00
MSTR,1H,supply,DBD,2026-02-02T13:30:00-05:00,144.69,142.73,142.73,144.69,142.52,143.36,2.17,0.4,-0.78,-0.7,4.53,0.67,fresh,0,False,4.87,2026-02-02T14:30:00-05:00,2026-02-02 14:30:00-05:00,,,2026-02-13T16:00:00-05:00,1,1H,1H supply 142.73-144.69 DBD,1H,2026-02-02T13:30:00-05:00
MSTR,90m/1H,supply,DBD/RBD,2026-02-02T11:00:00-05:00,147.88,145.99,145.99,147.88,145.45,146.48,2.43,0.95,-0.76,-0.83,6.92,0.7,fresh,0,False,5.78,2026-02-02T12:30:00-05:00,2026-02-02 12:30:00-05:00,,,2026-02-13T16:00:00-05:00,2,"90m,1H",90m supply 145.99-147.88 DBD; 1H supply 146.48-147.77 RBD,90m,2026-02-02T11:00:00-05:00
MSTR,1D/4H/2H/90m/1H,supply,DBD/RBD,2026-01-27T00:00:00-05:00,162.49,158.38,160.31,161.67,156.98,161.58,4.69,0.68,-0.17,-0.34,4.71,0.68,fresh,0,False,12.5,2026-01-28T00:00:00-05:00,2026-01-28 00:00:00-05:00,,,2026-02-13T16:00:00-05:00,11,"1D,4H,2H,90m,1H",1D supply 160.31-161.67 RBD; 4H supply 158.38-160.44 DBD; 2H supply 158.38-159.11 DBD; 2H supply 161.20-161.67 RBD; 90m supply 158.38-159.11 DBD; 90m supply 161.20-161.67 RBD; 1H supply 158.38-159.11 DBD; 1H supply 160.52-161.98 DBD; 1H supply 159.63-161.28 DBD; 1H supply 161.20-161.67 RBD; 1H supply 161.50-162.49 DBD,1D,2026-01-27T00:00:00-05:00
MSTR,2H,supply,DBD,2026-01-26T13:30:00-05:00,163.92,161.5,161.62,163.92,160.42,161.5,3.5,0.8,0.23,-0.25,8.38,0.44,multiple_tests,3,False,2.19,2026-01-26T15:30:00-05:00,2026-01-26 15:30:00-05:00,,2026-01-28T09:30:00-05:00,2026-02-13T16:00:00-05:00,1,2H,2H supply 161.50-163.92 DBD,2H,2026-01-26T13:30:00-05:00
MSTR,1H,supply,RBD,2026-01-23T12:30:00-05:00,168.96,167.47,168.3,168.96,165.96,167.47,3.0,1.12,1.45,-0.74,2.93,0.84,fresh,0,False,5.08,2026-01-23T13:30:00-05:00,2026-01-23 13:30:00-05:00,,,2026-02-13T16:00:00-05:00,1,1H,1H supply 167.47-168.96 RBD,1H,2026-01-23T12:30:00-05:00
MSTR,1D,supply,DBD,2026-01-16T00:00:00-05:00,173.88,171.93,171.93,173.88,167.59,173.71,6.29,0.95,-0.62,-1.49,2.77,1.25,fresh,0,False,8.74,2026-01-20T00:00:00-05:00,2026-01-20 00:00:00-05:00,,,2026-02-13T16:00:00-05:00,1,1D,1D supply 171.93-173.88 DBD,1D,2026-01-16T00:00:00-05:00
MSTR,2H,supply,DBD,2026-01-15T11:30:00-05:00,177.59,174.5,174.5,177.59,174.4,175.37,3.19,0.7,-0.74,-0.54,3.34,0.57,fresh,0,False,5.11,2026-01-15T13:30:00-05:00,2026-01-15 13:30:00-05:00,,,2026-02-13T16:00:00-05:00,1,2H,2H supply 174.50-177.59 DBD,2H,2026-01-15T11:30:00-05:00
MSTR,3H/2H/90m/1H,supply,DBD/RBD,2026-01-14T15:30:00-05:00,180.54,179.12,179.12,180.54,178.6,179.31,1.94,0.37,-0.66,-0.49,14.32,1.45,fresh,0,False,8.58,2026-01-15T09:30:00-05:00,2026-01-15 09:30:00-05:00,,,2026-02-13T16:00:00-05:00,4,"3H,2H,90m,1H",3H supply 179.12-180.54 DBD; 2H supply 179.12-180.54 RBD; 90m supply 179.12-180.54 RBD; 1H supply 179.12-180.54 RBD,3H,2026-01-14T15:30:00-05:00
MSTR,90m,supply,RBD,2026-01-14T11:00:00-05:00,187.2,183.32,184.6,187.2,182.38,183.32,4.82,1.33,2.23,-1.23,4.49,1.04,fresh,0,False,6.02,2026-01-14T12:30:00-05:00,2026-01-14 12:30:00-05:00,,,2026-02-13T16:00:00-05:00,1,90m,90m supply 183.32-187.20 RBD,90m,2026-01-14T11:00:00-05:00
MSTR,1D,supply,DBD,2025-12-04T00:00:00-05:00,191.0,186.01,186.02,191.0,182.35,186.01,8.65,0.78,0.31,-0.47,434.5,0.98,multiple_tests,3,False,4.95,2025-12-05T00:00:00-05:00,2025-12-05 00:00:00-05:00,,2026-01-14T00:00:00-05:00,2026-02-13T16:00:00-05:00,1,1D,1D supply 186.01-191.00 DBD,1D,2025-12-04T00:00:00-05:00
MSTR,1D,supply,DBD,2025-11-12T00:00:00-05:00,234.84,224.61,233.9,234.84,219.8,224.61,15.04,0.94,-1.05,-1.18,1.73,1.44,fresh,0,False,8.62,2025-11-13T00:00:00-05:00,2025-11-13 00:00:00-05:00,,,2026-02-13T16:00:00-05:00,1,1D,1D supply 224.61-234.84 DBD,1D,2025-11-12T00:00:00-05:00
MSTR,1D,supply,DBD,2025-11-05T00:00:00-05:00,255.36,250.2,250.2,255.36,247.02,255.0,8.34,0.85,-0.72,-1.33,3.11,1.27,fresh,0,False,8.6,2025-11-06T00:00:00-05:00,2025-11-06 00:00:00-05:00,,,2026-02-13T16:00:00-05:00,1,1D,1D supply 250.20-255.36 DBD,1D,2025-11-05T00:00:00-05:00
MSTR,1D,supply,RBD,2025-11-03T00:00:00-05:00,270.36,264.19,264.19,270.36,259.85,264.67,10.51,0.94,0.69,-1.21,17.02,1.34,fresh,0,False,8.55,2025-11-04T00:00:00-05:00,2025-11-04 00:00:00-05:00,,,2026-02-13T16:00:00-05:00,1,1D,1D supply 264.19-270.36 RBD,1D,2025-11-03T00:00:00-05:00
MSTR,1D,supply,RBD,2025-10-24T00:00:00-04:00,292.15,289.08,290.43,292.15,286.11,289.08,6.04,0.66,0.56,0.45,2.87,0.69,one_test,1,False,5.64,2025-10-27T00:00:00-04:00,2025-10-27 00:00:00-04:00,,2025-10-28T00:00:00-04:00,2026-02-13T16:00:00-05:00,1,1D,1D supply 289.08-292.15 RBD,1D,2025-10-24T00:00:00-04:00
MSTR,1D,supply,RBD,2025-10-21T00:00:00-04:00,305.99,293.95,293.95,305.99,291.52,301.91,14.47,0.64,0.79,-1.38,2.65,1.22,multiple_tests,2,False,6.1,2025-10-22T00:00:00-04:00,2025-10-22 00:00:00-04:00,,2025-10-28T00:00:00-04:00,2026-02-13T16:00:00-05:00,1,1D,1D supply 293.95-305.99 RBD,1D,2025-10-21T00:00:00-04:00
MSTR,1D,supply,RBD,2025-10-27T00:00:00-04:00,299.8,295.63,299.5,299.8,293.0,295.63,6.8,0.7,0.76,-0.78,2.71,0.69,fresh,0,False,7.47,2025-10-28T00:00:00-04:00,2025-10-28 00:00:00-04:00,,,2026-02-13T16:00:00-05:00,1,1D,1D supply 295.63-299.80 RBD,1D,2025-10-27T00:00:00-04:00
MSTR,1D,supply,DBD,2025-10-15T00:00:00-04:00,308.88,296.76,303.6,308.88,294.62,296.76,14.26,0.82,-1.21,-0.83,2.35,1.06,multiple_tests,5,False,5.39,2025-10-16T00:00:00-04:00,2025-10-16 00:00:00-04:00,,2025-10-28T00:00:00-04:00,2026-02-13T16:00:00-05:00,1,1D,1D supply 296.76-308.88 DBD,1D,2025-10-15T00:00:00-04:00
MSTR,1D,supply,DBD,2025-10-14T00:00:00-04:00,312.71,300.67,301.0,312.71,297.34,300.67,15.37,0.88,-0.26,-0.25,20.73,0.82,multiple_tests,3,False,4.57,2025-10-15T00:00:00-04:00,2025-10-15 00:00:00-04:00,,2025-10-21T00:00:00-04:00,2026-02-13T16:00:00-05:00,1,1D,1D supply 300.67-312.71 DBD,1D,2025-10-14T00:00:00-04:00
MSTR,1D,supply,RBD,2025-10-13T00:00:00-04:00,315.95,306.67,306.67,315.95,300.59,315.47,15.36,0.9,-0.31,-0.96,1.68,0.89,one_test,1,False,6.35,2025-10-14T00:00:00-04:00,2025-10-14 00:00:00-04:00,,2025-10-15T00:00:00-04:00,2026-02-13T16:00:00-05:00,1,1D,1D supply 306.67-315.95 RBD,1D,2025-10-13T00:00:00-04:00
MSTR,1D,supply,RBD,2025-10-03T00:00:00-04:00,358.54,350.87,350.87,358.54,344.4,351.63,14.14,1.04,0.98,0.6,4.26,0.82,one_test,1,False,5.92,2025-10-06T00:00:00-04:00,2025-10-06 00:00:00-04:00,,2025-10-07T00:00:00-04:00,2026-02-13T16:00:00-05:00,1,1D,1D supply 350.87-358.54 RBD,1D,2025-10-03T00:00:00-04:00
MSTR,1D,supply,DBD/RBD,2025-10-06T00:00:00-04:00,367.57,359.69,362.95,365.21,354.7,359.69,10.51,0.82,0.55,-2.33,9.35,1.69,fresh,0,False,10.52,2025-10-07T00:00:00-04:00,2025-10-07 00:00:00-04:00,,,2026-02-13T16:00:00-05:00,2,1D,1D supply 359.69-365.21 RBD; 1D supply 359.94-367.57 DBD,1D,2025-10-06T00:00:00-04:00
MSTR,1D,supply,DBD,2025-08-13T00:00:00-04:00,399.44,389.9,397.73,399.44,383.55,389.9,15.89,1.0,-0.63,-1.03,2.17,1.52,fresh,0,False,8.55,2025-08-14T00:00:00-04:00,2025-08-14 00:00:00-04:00,,,2026-02-13T16:00:00-05:00,1,1D,1D supply 389.90-399.44 DBD,1D,2025-08-13T00:00:00-04:00
MSTR,1D,supply,RBD,2025-07-31T00:00:00-04:00,410.81,399.12,399.12,410.81,397.08,401.86,13.73,0.92,0.49,-2.4,8.69,1.93,multiple_tests,5,False,7.83,2025-08-01T00:00:00-04:00,2025-08-01 00:00:00-04:00,,2025-08-13T00:00:00-04:00,2026-02-13T16:00:00-05:00,1,1D,1D supply 399.12-410.81 RBD,1D,2025-07-31T00:00:00-04:00
MU,1D,demand,DBR,2025-08-01T00:00:00-04:00,105.49,103.38,105.49,106.5,103.38,104.88,3.12,1.08,-3.17,0.93,2.88,0.67,fresh,0,False,7.6,2025-08-04T00:00:00-04:00,2025-08-04 00:00:00-04:00,,,2026-02-13T16:00:00-05:00,1,1D,1D demand 103.38-105.49 DBR,1D,2025-08-01T00:00:00-04:00
MU,1D,demand,RBR,2025-08-05T00:00:00-04:00,109.3,106.83,109.3,110.64,106.83,109.06,3.81,0.83,1.34,-0.09,3.67,0.61,fresh,0,False,6.7,2025-08-06T00:00:00-04:00,2025-08-06 00:00:00-04:00,,,2026-02-13T16:00:00-05:00,1,1D,1D demand 106.83-109.30 RBR,1D,2025-08-05T00:00:00-04:00
MU,1D,demand,RBR,2025-08-26T00:00:00-04:00,117.75,115.81,116.09,118.36,115.81,116.5,2.55,0.67,-0.3,0.32,2.2,0.82,one_test,1,False,6.14,2025-08-27T00:00:00-04:00,2025-08-27 00:00:00-04:00,,2025-09-02T00:00:00-04:00,2026-02-13T16:00:00-05:00,2,1D,1D demand 115.81-116.50 RBR; 1D demand 116.44-117.75 RBR,1D,2025-08-26T00:00:00-04:00
MU,1D,demand,RBR,2025-09-03T00:00:00-04:00,119.36,117.3,119.36,119.44,117.3,118.72,2.14,0.81,-0.07,1.4,8.37,1.06,fresh,0,False,8.46,2025-09-04T00:00:00-04:00,2025-09-04 00:00:00-04:00,,,2026-02-13T16:00:00-05:00,1,1D,1D demand 117.30-119.36 RBR,1D,2025-09-03T00:00:00-04:00
MU,1D,demand,RBR,2025-09-08T00:00:00-04:00,131.46,128.4,130.55,132.26,128.4,131.46,3.86,1.1,1.82,0.95,3.82,1.16,fresh,0,False,8.11,2025-09-09T00:00:00-04:00,2025-09-09 00:00:00-04:00,,,2026-02-13T16:00:00-05:00,1,1D,1D demand 128.40-131.46 RBR,1D,2025-09-08T00:00:00-04:00
MU,1D,demand,RBR,2025-09-10T00:00:00-04:00,140.02,138.34,140.02,142.24,138.34,140.0,3.9,1.51,2.16,2.68,142.5,2.95,fresh,0,False,11.63,2025-09-11T00:00:00-04:00,2025-09-11 00:00:00-04:00,,,2026-02-13T16:00:00-05:00,1,1D,1D demand 138.34-140.02 RBR,1D,2025-09-10T00:00:00-04:00
MU,1D,demand,DBR,2025-09-26T00:00:00-04:00,158.52,155.18,158.52,158.92,155.18,157.27,3.74,0.88,-0.89,1.33,3.12,0.97,fresh,0,False,8.3,2025-09-29T00:00:00-04:00,2025-09-29 00:00:00-04:00,,,2026-02-13T16:00:00-05:00,1,1D,1D demand 155.18-158.52 DBR,1D,2025-09-26T00:00:00-04:00
